rep_1,rep_2
0.981761351,1.041443718
1.108347651,1.005926499
1.190155187,1.063384308
1.053293118,1.102307246
0.948496218,1.101372508
1.117789893,0.929508057
0.873697733,0.960450999
1.055024704,0.930216029
1.002259181,1.004177543
0.846533697,1.024904418
0.742174261,1.07371719
1.206837883,1.192193301
0.954142449,1.236338801
1.286015895,1.05201344
0.962247369,0.940716637
0.887583598,1.124634554
0.805537644,0.779163468
0.28730517,0.287759175
0.873485232,0.936261698
1.04081897,1.431516747
1.130389934,1.129374722
1.016055807,1.258965863
1.031327135,1.29192248
0.959199176,0.834209713
0.992650301,1.072448791
1.036029198,0.92668935
0.948050318,0.935542775
1.0237999,1.208285862
0.984058636,1.168581916
1.010760472,1.203739982
0.907855435,1.010756482
1.052466636,0.742095391
0.845103999,1.011979509
1.040610163,1.044365284
0.895759363,1.191961119
1.162327169,0.920034248
1.137039258,0.907560196
1.320450561,1.001292134
1.013523089,0.951019449
0.895572555,1.135327998
0.977276471,0.916699497
0.887155184,1.039769921
1.21872356,1.012060742
1.076280618,1.068370994
0.959638826,0.969957817
1.10379496,1.119287501
0.916847636,1.162793667
1.172362219,0.922569407
1.090123228,0.737969769
1.04161846,1.082157738
1.020873831,0.646101369
1.059009459,0.902486125
1.017539343,1.063123152
0.877086742,0.623452175
1.135372272,0.807427849
1.157147174,0.872015865
0.559093648,0.682585697
0.841394496,1.032033075
0.988452992,0.802581292
0.733833042,0.964548676
1.082738422,1.229061817
1.003614599,1.043036429
1.134722204,0.95873677
1.155632615,1.074308688
1.060847142,0.962839333
1.114222333,1.124662617
1.129424167,1.031518216
1.087923262,0.861284462
1.102764313,0.951853006
1.05421978,1.140411365
0.969705992,1.029180738
1.10383922,1.295065389
0.825975034,1.007432319
1.033726519,0.822198892
0.908580065,1.125032415
1.081333269,1.348989306
0.985926217,0.932705636
0.834401881,1.006692164
1.004630423,0.955331179
1.108546801,1.128552222
1.055683993,0.896899605
1.090710281,1.125187167
1.378489003,1.530571108
1.112357394,0.926865409
1.011161906,1.10180852
0.733019676,0.370578393
1.173674695,0.968218754
1.186541424,0.76986107
0.894647881,1.100132418
0.957517051,0.846113832
0.917161214,1.037735989
1.028899475,0.951378896
0.630047287,0.635668634
1.246153577,1.281027375
1.05874649,1.025983311
0.979497896,0.690858088
1.333481991,0.980500345
1.034431712,1.229521266
0.936142841,1.127348443
1.077295511,1.056780502
0.786107374,0.821930199
1.108075533,1.222637408
1.085492791,1.214738708
1.116811093,1.102694429
0.886968938,0.978240074
1.170646429,0.952122185
1.026130268,1.199674857
1.051594393,0.686785452
1.027868458,1.05166293
0.703847485,0.9946232
0.966517369,1.116048891
1.107284192,0.804092271
1.025528849,1.201187308
0.935920773,0.87525783
1.069205021,1.269814731
1.100039513,0.995358899
1.045070827,1.055659841
0.820398255,0.899447137
1.175479789,1.261630948
0.781900677,1.193668214
1.051364476,1.00442586
1.07784362,1.023664569
1.031334214,1.213125377
0.813568037,1.047379673
0.945545961,0.947371532
1.169336073,1.029909633
1.103022971,0.808982466
0.99419431,1.268090983
0.936119124,0.966216706
0.903030593,0.976934568
0.950520899,0.804905241
0.961017316,0.915860818
0.945994091,1.01988805
1.151703485,0.87685587
0.993001707,1.065211318
1.127308881,1.208390344
0.992579688,0.958044067
0.877230465,0.992947843
0.791866617,0.937907411
1.015250169,1.145857846
0.74500757,0.98694164
0.848171822,0.820496395
1.106974818,1.10027184
1.008785165,0.999367001
0.898279584,0.880486643
0.921613889,0.794564654
1.15869981,1.315426145
0.833579208,0.86922015
0.799881747,0.913038068
1.011050825,0.772785391
0.728846458,1.008766829
1.135620861,0.813448409
0.866565242,0.994744055
0.995881205,0.996257261
0.987311088,1.020080721
0.934045862,0.975989789
1.105202061,0.785120041
1.006457754,0.79308236
0.978255896,1.064014845
1.200691411,0.986377149
1.116004108,1.169228525
0.891468043,1.014406933
1.025608301,0.781239115
1.053982908,0.977463748
0.803676277,0.710933977
1.155893083,1.085155654
1.009950935,0.915047872
0.800213002,0.695721193
0.931573336,0.915640834
0.954669632,1.013280645
0.849266347,0.921656877
0.98442245,1.079796852
1.024596311,1.125435096
1.128308315,0.754952957
0.891349683,1.261003274
1.118051756,1.053069722
0.835100116,0.994541521
1.041834098,0.975850199
0.844050435,0.866455152
1.119740181,0.809221465
0.97397971,0.994290656
0.987434619,1.083376116
0.940893094,0.668600506
0.996212511,1.15865631
0.97612686,0.852196283
1.107569719,1.314583991
0.879054831,1.010938273
1.114359698,1.003644655
1.07938455,1.170323692
1.013789874,0.935833314
1.176942173,0.827680972
0.844062323,0.811162994
0.980523881,0.981046485
1.098569135,1.030210655
0.977508678,0.956356111
1.089233184,0.751270969
0.810792225,1.15115717
0.862158553,1.15319601
1.009740578,1.135812402
0.988673779,0.997260563
0.92576686,0.581679675
0.901102702,0.903738308
1.079464266,1.039644862
0.975896221,0.85592875
1.12096164,0.99688605
1.1566299,0.946409943
0.958859204,0.933362295
0.982305812,1.093018978
1.198233817,0.879589377
0.987507108,1.082257691
1.090857933,0.687054872
1.031246829,1.077638892
0.930167193,0.979257166
0.913028999,0.904376075
0.895886267,1.008960106
1.015020994,0.984263048
1.057686581,0.822237792
1.128211383,1.446473638
1.021686345,1.158009063
0.859119368,0.772951449
0.818715212,0.901350889
1.079924224,1.089300985
1.06272651,0.618186303
0.892556793,0.995118628
1.054865395,1.155930617
0.956523025,0.814922334
0.939630218,1.012469989
1.175070426,1.359345458
1.261922728,0.984761181
1.074140174,1.0015547
0.992983496,1.07531693
1.087750226,1.026820657
1.031229225,0.910226797
1.064891761,1.15892514
0.686323977,1.058035066
1.0212548,1.003746264
1.045753143,0.914435021
0.931275259,1.113622915
0.848279178,1.01716688
0.832056458,0.960842546
1.025002213,0.911142672
0.783082289,0.718151563
0.897525132,1.035824057
0.854078754,1.106386975
1.095987697,1.053881315
1.121852133,1.081799467
1.204986451,1.046345893
1.131641202,1.023627412
0.792703358,0.640562077
0.939296762,1.005851394
0.929825191,1.063062794
0.91067284,1.189648031
1.082979851,0.977457741
0.943187517,1.018349904
1.084062169,1.053432556
1.240821458,0.964477873
1.033829595,0.993313509
1.033627414,1.009779229
0.983837026,1.339409317
0.997437024,1.100984615
0.994337393,1.120688866
0.867391137,0.603863268
1.064133106,1.200853824
0.834190921,0.989501823
1.026694862,1.069974697
0.958334149,0.80038718
1.036120451,0.815051838
1.016272769,0.908646122
1.039025422,1.143745564
0.988173765,1.061643025
0.954549849,1.077145304
1.013678723,1.262649771
1.054535171,0.948963346
1.037873037,0.683221877
1.014256038,0.91922765
0.973001014,1.113681387
1.026740633,0.94631253
0.9943389,0.895317896
1.129271323,1.44538715
0.997678717,0.948654208
1.176614088,0.977367392
1.024934103,1.053010805
0.945184435,0.944434276
0.783510603,0.926125499
1.120080695,1.014010942
0.801974006,0.693235418
0.920834866,0.979012025
0.939497734,0.697017554
0.763058653,0.872527733
1.012577466,0.750161757
1.03182435,0.868781824
1.131162724,0.94765542
0.763612768,1.036832768
1.093527137,1.039938068
0.821008894,1.119982613
1.174896272,0.952241185
1.032432007,1.029289522
1.109956971,1.066748341
0.969037083,0.927942944
0.820095423,0.856998218
1.130268144,1.001357057
1.030852574,1.127820427
0.907587412,0.904465027
1.035765035,0.805477551
0.844078259,0.97521115
0.8770965,1.039454601
1.042723666,1.137150826
0.844104208,0.741574142
1.036949772,0.996925526
1.1243242,1.682789478
0.925600883,1.174969189
1.178276459,0.870648852
0.957320038,1.223963514
1.02800412,1.308935707
1.011661864,1.101454043
1.022402126,1.168253871
1.13792689,0.836810335
1.095972756,0.912264054
1.035979848,0.956681712
1.004981749,0.991615512
0.754406659,0.969211063
0.929838409,0.99895624
1.121642106,1.259543024
1.252281003,1.546498512
1.168042425,0.917701306
0.700723638,0.99637404
0.656287488,0.933681688
1.039481798,1.256789574
1.184410889,1.045966928
1.084437548,0.907154892
0.968369536,0.921546775
0.929673796,1.092244406
1.347869489,1.336678188
1.074788722,0.91590119
1.90113428,1.723635868
1.001416096,1.001042671
0.996020892,0.931997254
0.819971442,0.911590894
0.980846811,0.917677662
1.125794435,1.0270404
0.994268814,0.900495789
1.000216899,0.948026153
1.150191206,1.296293597
0.674315975,0.846637263
0.928910749,0.946762841
1.013730641,1.247876323
1.001989228,0.795503608
1.15243345,1.125292423
1.038051494,1.025778889
0.98666499,1.191985669
0.805780863,0.903020106
0.950692942,1.017796826
0.81601572,0.686694995
1.01811993,1.091163746
0.953589449,1.038958582
0.842878694,0.877015092
1.125794822,0.914646015
1.559947801,1.907599722
0.947207655,1.316428949
1.002217778,0.989874229
1.046638015,0.851999117
0.869902324,0.841825486
0.973731964,1.194775948
1.002318669,1.185165931
1.042759982,0.918886994
0.936176061,1.078075947
0.948252308,1.036359317
1.000784491,1.034865569
1.031912661,0.954187826
1.127339027,1.176617946
0.838175034,0.793233601
0.85094667,1.076175426
0.999611655,0.789612325
0.932186926,1.084952817
1.209470733,1.211516855
1.047811726,0.871380869
1.026482981,0.981971818
0.996911264,1.141233045
1.104553845,1.191614397
1.12203913,0.919579858
1.026580301,0.997787189
0.892312686,0.890585883
0.823344507,1.095293457
0.958755809,1.134753009
0.853188406,1.114628813
1.119174485,0.915177685
1.076973668,1.541263117
1.251245006,0.943306665
1.036689045,1.014877521
1.117363898,0.916679073
1.109733142,1.039627455
1.03855365,1.015707401
0.738552191,1.132342551
1.072263874,1.174022283
0.940228448,1.262487485
0.903723735,0.939424407
0.940330193,0.951450228
0.703766746,0.658737642
1.121550971,1.062742568
1.059289721,0.911524658
1.008746356,1.015272027
1.032593684,1.054923869
0.901884416,0.983848518
1.061612643,1.159771875
1.1309317,0.931860457
0.946227201,1.107930371
0.757384901,0.591576381
1.141457327,0.971472872
1.023146084,1.228597679
1.052166834,1.506139085
0.850477674,1.054510025
1.155983373,1.395503523
