False Positive Rate 0,True Positive Rate 0,False Positive Rate 1,True Positive Rate 1,False Positive Rate 2,True Positive Rate 2,False Positive Rate 3,True Positive Rate 3,False Positive Rate 4,True Positive Rate 4,False Positive Rate 5,True Positive Rate 5,False Positive Rate 6,True Positive Rate 6,False Positive Rate 7,True Positive Rate 7,False Positive Rate 8,True Positive Rate 8,False Positive Rate 9,True Positive Rate 9,False Positive Rate mean,True Positive Rate mean
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06564258523667658
0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0007645259938837921,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0007651109410864575,0.0,0.0,0.03773584905660377,0.0,0.02631578947368421,0.01,0.36649065882258536
0.0,0.18181818181818182,0.0,0.06818181818181818,0.0007692307692307692,0.018867924528301886,0.0,0.05660377358490566,0.0007645259938837921,0.09090909090909091,0.0,0.0625,0.0,0.16666666666666666,0.0007651109410864575,0.13333333333333333,0.0,0.07547169811320754,0.00076103500761035,0.02631578947368421,0.02,0.44891391572126427
0.0007639419404125286,0.18181818181818182,0.0007639419404125286,0.06818181818181818,0.0007692307692307692,0.07547169811320754,0.0007692307692307692,0.05660377358490566,0.0015290519877675841,0.09090909090909091,0.0007668711656441718,0.0625,0.0007668711656441718,0.16666666666666666,0.001530221882172915,0.13333333333333333,0.0007698229407236335,0.07547169811320754,0.00076103500761035,0.05263157894736842,0.03,0.4832935878145908
0.0007639419404125286,0.20454545454545456,0.0007639419404125286,0.13636363636363635,0.0015384615384615385,0.07547169811320754,0.0007692307692307692,0.09433962264150944,0.0015290519877675841,0.11363636363636363,0.0007668711656441718,0.1875,0.0007668711656441718,0.20833333333333334,0.001530221882172915,0.17777777777777778,0.0007698229407236335,0.1320754716981132,0.0015220700152207,0.05263157894736842,0.04,0.5145616542786353
0.0038197097020626434,0.20454545454545456,0.0015278838808250573,0.13636363636363635,0.0015384615384615385,0.20754716981132076,0.0015384615384615385,0.09433962264150944,0.0030581039755351682,0.11363636363636363,0.0023006134969325155,0.1875,0.0015337423312883436,0.20833333333333334,0.0038255547054322878,0.17777777777777778,0.0007698229407236335,0.16981132075471697,0.0030441400304414,0.05263157894736842,0.05,0.5352752287021155
0.0038197097020626434,0.22727272727272727,0.002291825821237586,0.1590909090909091,0.002307692307692308,0.20754716981132076,0.002307692307692308,0.1320754716981132,0.0045871559633027525,0.11363636363636363,0.0023006134969325155,0.20833333333333334,0.0015337423312883436,0.22916666666666666,0.0038255547054322878,0.2222222222222222,0.0007698229407236335,0.20754716981132076,0.0030441400304414,0.13157894736842105,0.06,0.5618884439256295
0.0053475935828877,0.22727272727272727,0.002291825821237586,0.22727272727272727,0.002307692307692308,0.24528301886792453,0.0038461538461538464,0.1320754716981132,0.0045871559633027525,0.1590909090909091,0.004601226993865031,0.20833333333333334,0.0023006134969325155,0.22916666666666666,0.0045906656465187455,0.2222222222222222,0.001539645881447267,0.20754716981132076,0.00532724505327245,0.13157894736842105,0.07,0.5842044787497618
0.0053475935828877,0.2727272727272727,0.0030557677616501145,0.22727272727272727,0.003076923076923077,0.24528301886792453,0.0038461538461538464,0.18867924528301888,0.0061162079510703364,0.1590909090909091,0.004601226993865031,0.3125,0.0023006134969325155,0.2916666666666667,0.0045906656465187455,0.28888888888888886,0.001539645881447267,0.24528301886792453,0.00532724505327245,0.21052631578947367,0.08,0.6022164352253727
0.006875477463712758,0.2727272727272727,0.0030557677616501145,0.2727272727272727,0.003076923076923077,0.2641509433962264,0.005384615384615384,0.18867924528301888,0.0061162079510703364,0.18181818181818182,0.006901840490797546,0.3125,0.003834355828220859,0.2916666666666667,0.006885998469778117,0.28888888888888886,0.003849114703618168,0.24528301886792453,0.0060882800608828,0.21052631578947367,0.09,0.6114822462350722
